images,category
Chess_Data\case_vide\square_00.png,--
Chess_Data\case_vide\square_01.png,--
Chess_Data\case_vide\square_02.png,--
Chess_Data\case_vide\square_03.png,--
Chess_Data\case_vide\square_04.png,--
Chess_Data\case_vide\square_05.png,--
Chess_Data\case_vide\square_06.png,--
Chess_Data\case_vide\square_07.png,--
Chess_Data\case_vide\square_08.png,--
Chess_Data\case_vide\square_09.png,--
Chess_Data\case_vide\square_10.png,--
Chess_Data\case_vide\square_11.png,--
Chess_Data\case_vide\square_12.png,--
Chess_Data\case_vide\square_13.png,--
Chess_Data\case_vide\square_14.png,--
Chess_Data\case_vide\square_15.png,--
Chess_Data\case_vide\square_16.png,--
Chess_Data\case_vide\square_17.png,--
Chess_Data\case_vide\square_18.png,--
Chess_Data\case_vide\square_19.png,--
Chess_Data\case_vide\square_20.png,--
Chess_Data\case_vide\square_21.png,--
Chess_Data\case_vide\square_22.png,--
Chess_Data\case_vide\square_23.png,--
Chess_Data\case_vide\square_24.png,--
Chess_Data\case_vide\square_25.png,--
Chess_Data\case_vide\square_26.png,--
Chess_Data\case_vide\square_27.png,--
Chess_Data\case_vide\square_28.png,--
Chess_Data\case_vide\square_29.png,--
Chess_Data\case_vide\square_30.png,--
Chess_Data\case_vide\square_31.png,--
Chess_Data\case_vide\square_32.png,--
Chess_Data\case_vide\square_33.png,--
Chess_Data\case_vide\square_34.png,--
Chess_Data\case_vide\square_35.png,--
Chess_Data\case_vide\square_36.png,--
Chess_Data\case_vide\square_37.png,--
Chess_Data\case_vide\square_38.png,--
Chess_Data\case_vide\square_39.png,--
Chess_Data\case_vide\square_40.png,--
Chess_Data\case_vide\square_41.png,--
Chess_Data\case_vide\square_42.png,--
Chess_Data\case_vide\square_43.png,--
Chess_Data\case_vide\square_44.png,--
Chess_Data\case_vide\square_45.png,--
Chess_Data\case_vide\square_46.png,--
Chess_Data\case_vide\square_47.png,--
Chess_Data\case_vide\square_48.png,--
Chess_Data\case_vide\square_49.png,--
Chess_Data\case_vide\square_50.png,--
Chess_Data\case_vide\square_51.png,--
Chess_Data\case_vide\square_52.png,--
Chess_Data\case_vide\square_53.png,--
Chess_Data\case_vide\square_54.png,--
Chess_Data\case_vide\square_55.png,--
Chess_Data\case_vide\square_56.png,--
Chess_Data\case_vide\square_57.png,--
Chess_Data\case_vide\square_58.png,--
Chess_Data\case_vide\square_59.png,--
